CURSO;CÓDIGO DE TURMA;TURMA;TEORIA;PRÁTICA;Campus;turno;t-p-i;TOTAL DE VAGAS;SALDO DE VAGAS PARA O AJUSTE;DOCENTE TEORIA;DOCENTE PRÁTICA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A2-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SA;diurno;4-0-4;60;34;Ignat Fialkovskiy;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias B1-noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;60;29;Gisele Cristina Ducati;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCM0505-15SA;Processamento da Informação A3-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, quinzenal I";quinta das 08:00 às 10:00, semanal;SA;diurno;3-2-5;50;1;Raphael Yokoingawa De Camargo;Raphael Yokoingawa De Camargo
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA6BCM0505-15SA;Processamento da Informação A6- noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, quinzenal I";quinta das 19:00 às 21:00, semanal;SA;noturno;3-2-5;52;2;Gordana Manic;Gordana Manic
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA6BCM0505-15SA;Processamento da Informação A6-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, quinzenal I";quinta das 08:00 às 10:00, semanal;SA;diurno;3-2-5;50;2;Francisco De Assis Zampirolli;Francisco De Assis Zampirolli
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA7BCM0505-15SA;Processamento da Informação A7-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, quinzenal I";quinta das 08:00 às 10:00, semanal;SA;diurno;3-2-5;50;2;David Correa Martins Junior;David Correa Martins Junior
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA9BCM0505-15SA;Processamento da Informação A9-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, quinzenal I";quinta das 08:00 às 10:00, semanal;SA;diurno;3-2-5;50;8;Marcio Katsumi Oikawa;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB4BCM0505-15SA;Processamento da Informação B4- noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, quinzenal I";quinta das 21:00 às 23:00, semanal;SA;noturno;3-2-5;50;7;Joao Paulo Gois;Joao Paulo Gois
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB5BCM0505-15SA;Processamento da Informação B5- noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, quinzenal I";quinta das 21:00 às 23:00, semanal;SA;noturno;3-2-5;50;1;Gordana Manic;Gordana Manic
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB9BCM0505-15SA;Processamento da Informação B9- noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, quinzenal I";quinta das 21:00 às 23:00, semanal;SA;noturno;3-2-5;50;2;Wagner Tanaka Botelho;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCS0002-15SA;Projeto Dirigido A1-diurno (Santo André);sexta das 08:00 às 10:00, semanal;;SA;diurno;0-2-10;45;25;0;Luciano Puzer
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCS0002-15SA;Projeto Dirigido A1-noturno (Santo André);sexta das 19:00 às 21:00, semanal;;SA;noturno;0-2-10;45;2;0;Delmo Alves De Moura
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCS0002-15SA;Projeto Dirigido B1-noturno (Santo André);sexta das 21:00 às 23:00, semanal;;SA;noturno;0-2-10;45;26;Vera Paschon;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCS0002-15SA;Projeto Dirigido B2-noturno (Santo André);sexta das 21:00 às 23:00, semanal;;SA;noturno;0-2-10;45;16;0;Luciana Campos Paulino
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA4BCL0307-15SA;Transformações Químicas A4-noturno (Santo André);"terça das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, quinzenal II";segunda das 21:00 às 23:00, semanal;SA;noturno;3-2-6;42;2;Fernando Carlos Giacomelli;Patricia Dantoni
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB5BCL0307-15SA;Transformações Químicas B5-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, quinzenal II";segunda das 08:00 às 10:00, semanal;SA;diurno;3-2-6;40;5;Vani Xavier De Oliveira Junior;Marcia Aparecida Da Silva Spinace
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB6BCL0307-15SA;Transformações Químicas B6-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, quinzenal II";segunda das 08:00 às 10:00, semanal;SA;diurno;3-2-6;40;3;Vani Xavier De Oliveira Junior;Marcia Aparecida Da Silva Spinace
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB7BCL0307-15SA;Transformações Químicas B7-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, quinzenal II";segunda das 08:00 às 10:00, semanal;SA;diurno;3-2-6;40;3;Mariselma Ferreira;Viviane Viana Silva
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB8BCL0307-15SA;Transformações Químicas B8-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, quinzenal II";segunda das 08:00 às 10:00, semanal;SA;diurno;3-2-6;40;2;Mariselma Ferreira;Viviane Viana Silva
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB9BCL0307-15SA;Transformações Químicas B9-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, quinzenal II";segunda das 08:00 às 10:00, semanal;SA;diurno;3-2-6;40;3;Giselle Cerchiaro;Gustavo Morari Do Nascimento
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHZ1074-15SA;Astrobiologia A-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-6;50;2;Jiri Borecky;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHT1013-15SA;Bioquímica Funcional A-diurno (Santo André);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";terça das 10:00 às 12:00, semanal;SA;diurno;4-2-4;31;3;Ana Carolina Santos De Souza Galvão;Ana Carolina Santos De Souza Galvão
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHZ1015-15SA;Citogenética Básica A-diurno (Santo André);"quarta das 16:00 às 19:00, semanal ; sexta das 16:00 às 18:00, semanal";;SA;diurno;3-2-2;30;14;Carlos Suetoshi Miyazawa;Carlos Suetoshi Miyazawa
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHZ1026-15SA;Evolução Molecular A-noturno (Santo André);"terça das 19:00 às 20:30, semanal ; quinta das 19:00 às 20:30, semanal";;SA;noturno;3-0-3;30;24;Luciana Campos Paulino;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHT1069-15SA;Fisiologia Vegetal I A-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, semanal";terça das 08:00 às 10:00, semanal;SA;diurno;4-2-3;30;18;Wagner Rodrigo De Souza;Wagner Rodrigo De Souza
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHZ1031-15SA;História das Ideias Biológicas A-diurno (Santo André);terça das 14:00 às 16:00, semanal;;SA;diurno;2-0-4;40;10;Guilherme Cunha Ribeiro;0
